City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
503,Ribas Do Rio Pardo,BR,82.04,heavy intensity rain,-20.4431,-53.7592,Pousada Avenida
504,Carutapera,BR,77.83,overcast clouds,-1.195,-46.02,Lidera
514,Morant Bay,JM,85.62,overcast clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
524,Iquitos,PE,78.84,broken clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
525,Kununurra,AU,75.18,scattered clouds,-15.7667,128.7333,Hotel Kununurra
526,Kibala,TD,76.95,clear sky,9.1104,18.3463,hotel safari
529,Bundaberg,AU,77.22,broken clouds,-24.85,152.35,Takalvan Motel
531,Pozo Colorado,PY,88.66,scattered clouds,-23.4923,-58.7972,Hospedaje la Amistad
532,Santa Rosa,PH,80.58,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
534,Roebourne,AU,80.37,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
536,Bintulu,MY,75.61,scattered clouds,3.1667,113.0333,900 Boutique INN
538,Isla Aguada,MX,75.24,overcast clouds,18.7833,-91.4667,Freedom Shores
539,Vao,NC,76.23,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
541,Bontang,ID,75.2,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
548,Conakry,GN,84.27,scattered clouds,9.538,-13.6773,Riviera Royal Hotel
553,Laguna,US,75.15,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
554,Namatanai,PG,81.81,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
555,Banda Aceh,ID,75.99,heavy intensity rain,5.5577,95.3222,Sulthan Hotel International
556,Belmonte,BR,81.1,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
560,Manjeshwar,IN,77.95,overcast clouds,12.7194,74.8861,SOOFINAGAR
561,Isangel,VU,78.91,overcast clouds,-19.55,169.2667,Tanna Lodge
570,Saint-Georges,GD,85.68,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
572,Ixtapa,MX,83.43,clear sky,20.7,-105.2,Hotel Plaza Providencia
574,Tiarei,PF,86.02,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
577,Teluknaga,ID,79.18,few clouds,-6.0989,106.6381,Bale Ocasa hotel
578,Mossoro,BR,87.75,few clouds,-5.1875,-37.3442,ibis Mossoro
580,Moron,AR,79.02,few clouds,-34.6534,-58.6198,Hotel Morón
581,Januaria,BR,76.55,overcast clouds,-15.4833,-44.3667,Hotel Paraguassu
583,San Policarpo,PH,80.28,overcast clouds,12.1791,125.5072,Agapita M. Nicart
592,Neiafu,TO,79.48,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
597,Iralaya,HN,80.53,overcast clouds,15.0,-83.2333,Iglesia morava renovada
