City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
161,Aden,YE,12.7794,45.0367,80.38,63,1,6.69,clear sky
162,Flin Flon,CA,54.7682,-101.865,33.64,80,75,9.22,broken clouds
163,Brae,GB,60.3964,-1.353,42.71,67,61,29.06,broken clouds
164,Smithers,CA,54.7804,-127.1743,23.32,100,90,5.75,overcast clouds
165,Zima,RU,53.9202,102.0442,19.36,96,100,3.36,overcast clouds
166,Barstow,US,34.8986,-117.0228,80.29,14,0,2.39,clear sky
167,Husavik,IS,66.0449,-17.3389,24.71,78,100,9.84,overcast clouds
168,Kemijarvi,FI,66.7131,27.4306,10.65,90,100,4.59,overcast clouds
169,Samarai,PG,-10.6167,150.6667,82.56,81,30,7.31,scattered clouds
170,Drochia,MD,48.035,27.8161,36.72,71,91,15.64,overcast clouds
171,Bredasdorp,ZA,-34.5322,20.0403,58.28,60,25,11.1,scattered clouds
172,Fort Morgan,US,40.2503,-103.8,72.25,14,1,16.11,clear sky
173,Okhotsk,RU,59.3833,143.3,-12.53,87,15,17.78,few clouds
174,The Valley,AI,18.217,-63.0578,85.86,78,75,13.8,broken clouds
175,Salalah,OM,17.0151,54.0924,80.69,32,0,9.22,clear sky
176,Geraldton,AU,-28.7667,114.6,66.61,63,90,18.41,overcast clouds
177,Norman Wells,CA,65.282,-126.8329,-23.76,69,20,0.0,few clouds
178,Omsukchan,RU,62.5333,155.8,-16.24,99,100,3.67,overcast clouds
179,Kavieng,PG,-2.5744,150.7967,82.49,79,100,17.02,light rain
180,Saint-Philippe,RE,-21.3585,55.7679,76.55,84,57,7.11,broken clouds
181,Portland,US,45.5234,-122.6762,59.58,92,90,3.44,light intensity drizzle
182,Fort Nelson,CA,58.8053,-122.7002,4.59,78,75,2.3,broken clouds
183,Quatre Cocos,MU,-20.2078,57.7625,74.08,68,0,6.58,clear sky
184,Kieta,PG,-6.2167,155.6333,81.59,80,100,4.07,light rain
185,Clyde River,CA,70.4692,-68.5914,-1.97,78,75,6.91,broken clouds
186,Jingdezhen,CN,29.2947,117.2079,51.58,80,100,8.14,overcast clouds
187,Darhan,MN,49.4867,105.9228,8.38,89,21,6.17,few clouds
188,Dikson,RU,73.5069,80.5464,-14.3,96,100,16.71,overcast clouds
189,Saint-Joseph,RE,-21.3667,55.6167,75.56,85,34,8.12,scattered clouds
190,Vila Franca Do Campo,PT,37.7167,-25.4333,61.2,74,50,5.5,scattered clouds
191,Raudeberg,NO,61.9875,5.1352,36.19,79,100,5.99,light rain
192,Mount Gambier,AU,-37.8333,140.7667,55.31,76,17,5.75,few clouds
193,Oistins,BB,13.0667,-59.5333,84.29,61,40,16.11,scattered clouds
194,Nouadhibou,MR,20.931,-17.0347,66.18,68,66,19.57,broken clouds
195,Leningradskiy,RU,69.3833,178.4167,-21.28,96,69,9.06,broken clouds
196,Padang,ID,-0.9492,100.3543,75.96,87,69,3.94,broken clouds
197,Kulhudhuffushi,MV,6.6221,73.07,78.58,87,100,18.41,moderate rain
198,Datong,CN,40.0936,113.2914,21.72,39,1,18.14,clear sky
199,Provideniya,RU,64.3833,-173.3,-4.97,86,3,8.63,clear sky
200,San Quintin,MX,30.4833,-115.95,70.48,51,0,11.05,clear sky
201,Phan Thiet,VN,10.9333,108.1,75.13,92,100,7.45,overcast clouds
202,Nurota,UZ,40.5614,65.6886,41.09,44,100,1.92,overcast clouds
203,Ust-Nera,RU,64.5667,143.2,-15.66,99,100,2.8,overcast clouds
204,Qingquan,CN,30.4511,115.2559,48.0,49,70,13.42,broken clouds
205,Miyang,CN,24.4042,103.4428,48.88,93,100,4.21,overcast clouds
206,Cidreira,BR,-30.1811,-50.2056,76.73,59,31,11.41,scattered clouds
207,Hofn,IS,64.2539,-15.2082,26.22,89,100,10.69,snow
208,Robstown,US,27.7903,-97.6689,73.58,42,20,1.01,few clouds
209,Lamesa,US,32.7376,-101.951,78.06,17,0,12.06,clear sky
210,Kaitangata,NZ,-46.2817,169.8464,61.93,62,100,5.68,overcast clouds
211,Burns Lake,CA,54.2331,-125.7533,20.62,92,100,3.69,overcast clouds
212,Bone,DE,51.9669,12.1396,38.82,91,100,8.5,overcast clouds
213,Beringovskiy,RU,63.05,179.3167,6.1,94,100,7.74,overcast clouds
214,Muisne,EC,0.6,-80.0333,82.51,80,94,11.16,overcast clouds
215,Bairiki,KI,1.3292,172.9752,82.4,74,75,11.5,broken clouds
216,Katsuura,JP,35.1333,140.3,46.15,76,58,12.15,broken clouds
217,New Norfolk,AU,-42.7826,147.0587,53.71,76,41,2.39,scattered clouds
218,Komsomolskiy,UZ,40.4272,71.7189,36.82,75,18,6.91,mist
219,San Cristobal,VE,7.7669,-72.225,80.78,67,98,4.94,overcast clouds
220,Pauini,BR,-7.7136,-66.9764,81.72,82,99,1.66,overcast clouds
221,Kutum,SD,14.2,24.6667,71.13,32,97,9.75,overcast clouds
222,Kaputa,ZM,-8.4689,29.6619,71.87,73,14,2.33,few clouds
223,Levelland,US,33.5873,-102.378,74.19,14,0,11.1,clear sky
224,Kaeo,NZ,-35.1,173.7833,71.33,73,57,4.34,broken clouds
225,Marang,MY,5.2056,103.2059,76.93,89,100,2.73,overcast clouds
226,Moose Factory,CA,51.2585,-80.6094,19.4,79,90,9.22,light snow
