City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
154,Barinas,VE,2021-11-24 05:54:17,8.6226,-70.2075,72.01,91,99,4.61
155,Brigantine,US,2021-11-24 05:54:17,39.4101,-74.3646,37.45,72,0,16.26
156,Helong,CN,2021-11-24 05:54:18,42.5397,128.9972,24.01,43,10,12.97
157,Yenagoa,NG,2021-11-24 05:54:18,4.9247,6.2642,75.9,92,100,2.13
158,Kirksville,US,2021-11-24 05:54:18,40.1948,-92.5833,48.38,55,1,3.0
159,Chara,RU,2021-11-24 05:54:19,56.9064,118.2631,-8.84,93,97,1.48
160,Ust-Kulom,RU,2021-11-24 05:54:19,61.6864,53.6902,10.42,95,99,6.42
161,Nara,JP,2021-11-24 05:54:19,34.6851,135.8049,57.49,33,66,11.95
162,Beloha,MG,2021-11-24 05:54:20,-25.1667,45.05,81.59,58,86,15.41
163,Faanui,PF,2021-11-24 05:54:20,-16.4833,-151.75,80.85,75,40,5.44
164,Taoudenni,ML,2021-11-24 05:54:20,22.6783,-3.9836,74.16,39,71,5.5
165,Cape Town,ZA,2021-11-24 05:51:11,-33.9258,18.4232,67.12,62,0,12.66
166,Saint Anthony,US,2021-11-24 05:54:21,45.0205,-93.218,50.97,55,1,5.01
167,Inhambane,MZ,2021-11-24 05:54:21,-23.865,35.3833,74.32,67,100,14.12
168,Seguin,US,2021-11-24 05:54:21,29.5688,-97.9647,60.66,85,99,1.99
169,Robinson,US,2021-11-24 05:54:21,31.4677,-97.1147,58.39,72,1,5.01
170,Lebu,CL,2021-11-24 05:54:22,-37.6167,-73.65,53.73,96,10,6.91
171,Ewa Beach,US,2021-11-24 05:54:22,21.3156,-158.0072,76.98,70,1,5.01
172,Nizwa,OM,2021-11-24 05:54:22,22.9333,57.5333,84.61,18,26,2.28
173,Ilulissat,GL,2021-11-24 05:54:23,69.2167,-51.1,36.86,72,100,25.14
174,Thinadhoo,MV,2021-11-24 05:54:23,0.5333,72.9333,82.31,77,86,20.0
175,Tommot,RU,2021-11-24 05:54:23,58.9564,126.2925,-2.83,87,100,6.4
176,Mansa,IN,2021-11-24 05:54:24,29.9833,75.3833,79.0,13,9,6.26
177,Ibra,OM,2021-11-24 05:54:24,22.6906,58.5334,84.43,13,53,0.07
178,Namatanai,PG,2021-11-24 05:54:25,-3.6667,152.4333,84.25,72,72,10.78
179,Arraial Do Cabo,BR,2021-11-24 05:50:19,-22.9661,-42.0278,71.26,88,94,8.46
180,Puri,IN,2021-11-24 05:55:25,19.8,85.85,82.92,65,24,7.2
181,Eureka,US,2021-11-24 05:55:25,40.8021,-124.1637,52.2,71,33,1.01
182,Sarangani,PH,2021-11-24 05:55:26,5.4033,125.4636,83.79,76,93,20.4
183,Lutry,CH,2021-11-24 05:55:26,46.5024,6.6865,43.54,90,87,5.06
184,Fortuna,US,2021-11-24 05:55:26,40.5982,-124.1573,51.93,73,90,3.0
185,Opuwo,NA,2021-11-24 05:55:26,-18.0607,13.84,72.5,18,2,6.96
186,Nantucket,US,2021-11-24 05:55:27,41.2835,-70.0995,32.97,70,13,28.83
187,Longyearbyen,SJ,2021-11-24 05:55:27,78.2186,15.6401,4.84,56,0,19.57
188,Lima,PE,2021-11-24 05:55:27,-12.0432,-77.0282,64.9,83,75,12.66
189,Villazon,BO,2021-11-24 05:55:27,-22.0866,-65.5942,49.41,79,100,6.24
190,Sibolga,ID,2021-11-24 05:55:28,1.7427,98.7792,85.73,62,100,4.61
191,Bahia Blanca,AR,2021-11-24 05:55:28,-38.7196,-62.2724,74.19,23,13,19.39
192,Karratha,AU,2021-11-24 05:55:28,-20.7377,116.8463,91.06,30,100,16.82
193,Ludvika,SE,2021-11-24 05:55:29,60.1496,15.1878,40.8,84,95,3.33
194,Oyon,PE,2021-11-24 05:55:29,-10.6681,-76.7731,47.1,92,100,1.61
195,Malaya Serdoba,RU,2021-11-24 05:55:29,52.4661,44.9512,13.62,97,81,4.68
196,Gizo,SB,2021-11-24 05:55:30,-8.103,156.8419,85.23,67,95,3.4
197,Henties Bay,NA,2021-11-24 05:55:30,-22.116,14.2845,56.86,84,71,3.09
198,Lillooet,CA,2021-11-24 05:55:30,50.6856,-121.942,18.32,96,80,3.58
199,Sisimiut,GL,2021-11-24 05:55:31,66.9395,-53.6735,33.64,98,100,41.32
200,Moen,NO,2021-11-24 05:55:31,69.1304,18.6123,26.46,80,40,8.05
201,Marystown,CA,2021-11-24 05:55:31,47.1666,-55.1483,48.85,100,100,11.99
202,Vila,PT,2021-11-24 05:52:17,42.0304,-8.1588,40.33,81,96,3.94
203,Coihaique,CL,2021-11-24 05:55:02,-45.5752,-72.0662,54.21,76,90,4.61
204,Barrow,US,2021-11-24 05:55:32,71.2906,-156.7887,-3.12,97,99,8.86
205,Novyy Buh,UA,2021-11-24 05:55:32,47.6931,32.5216,25.02,72,97,5.88
206,Smithers,CA,2021-11-24 05:55:32,54.7804,-127.1743,25.12,93,1,2.3
